date,newcases,newcases100k,totalcases,prevalence,incidence,incidence7d,deathrate
2020-02-26,1,0.000477326968974,0.000477326968974,0.000477326968974,0.000477326968974,0,0
2020-02-27,0,0,0.000477326968974,0.000477326968974,0,0,0
2020-02-28,0,0,0.000477326968974,0.000477326968974,0,0,0
2020-02-29,1,0.000477326968974,0.000954653937947,0.000954653937947,0.000477326968974,0,0
2020-03-01,0,0,0.000954653937947,0.000954653937947,0,0,0
2020-03-02,0,0,0.000954653937947,0.000954653937947,0,0,0
2020-03-03,0,0,0.000954653937947,0.000954653937947,0,0.000136379133993,0
2020-03-04,1,0.000477326968974,0.001431980906921,0.001431980906921,0.000477326968974,0.000136379133993,0
2020-03-05,4,0.001909307875895,0.003341288782816,0.003341288782816,0.001909307875895,0.000409137401977,0
2020-03-06,6,0.002863961813842,0.006205250596659,0.006205250596659,0.002863961813842,0.000818274803955,0
2020-03-07,6,0.002863961813842,0.009069212410501,0.009069212410501,0.002863961813842,0.001159222638936,0
2020-03-08,6,0.002863961813842,0.011933174224344,0.011933174224344,0.002863961813842,0.001568360040914,0
2020-03-09,0,0,0,0,0,0.001568360040914,0
2020-03-10,34,0.016229116945107,0.016229116945107,0.016229116945107,0.016229116945107,0.003886805318786,0
2020-03-11,18,0.008591885441527,0.024821002386635,0.024821002386635,0.008591885441527,0.005046027957722,0
2020-03-12,25,0.011933174224344,0.036754176610979,0.036754176610979,0.011933174224344,0.006478008864644,0
2020-03-13,21,0.010023866348449,0.046778042959427,0.046778042959427,0.010023866348449,0.007500852369587,0
2020-03-14,23,0.010978520286396,0.057756563245823,0.057756563245823,0.010978520286396,0.008660075008524,0
2020-03-15,79,0.037708830548926,0.095465393794749,0.095465393794749,0.037708830548926,0.01363791339925,0
2020-03-16,34,0.016229116945107,0.111694510739857,0.111217183770883,0.016229116945107,0.015956358677122,0
2020-03-17,57,0.027207637231504,0.13890214797136,0.137470167064439,0.027207637231504,0.017524718718036,0.003436426116838
2020-03-18,137,0.065393794749403,0.204295942720764,0.201431980906921,0.065393794749403,0.02563927719059,0.009345794392523
2020-03-19,254,0.121241050119332,0.325536992840095,0.321241050119332,0.121241050119332,0.041254688032731,0.010263929618768
2020-03-20,249,0.118854415274463,0.444391408114559,0.437708830548926,0.118854415274463,0.056801909307876,0.012889366272825
2020-03-21,242,0.115513126491647,0.559904534606205,0.55035799522673,0.115513126491647,0.071735424480055,0.0153452685422
2020-03-22,392,0.187112171837709,0.747016706443914,0.734128878281623,0.187112171837709,0.093078758949881,0.015974440894569
2020-03-23,354,0.168973747016706,0.91599045346062,0.898806682577566,0.168973747016706,0.114899420388681,0.017717561229807
