date,newcases,newcases100k,totalcases,prevalence,incidence,incidence7d,deathrate
2020-02-24,,0,0.379139072847682,0.365894039735099,0,0,0.03056768558952
2020-02-25,93,0.153973509933775,0.533112582781457,0.514900662251656,0.153973509933775,0,0.031055900621118
2020-02-26,78,0.129139072847682,0.662251655629139,0.637417218543046,0.129139072847682,0,0.03
2020-02-27,250,0.413907284768212,1.07615894039735,0.973509933774835,0.413907284768212,0,0.026153846153846
2020-02-28,238,0.394039735099338,1.47019867549669,1.35927152317881,0.394039735099338,0,0.023648648648649
2020-02-29,240,0.397350993377483,1.86754966887417,1.73675496688742,0.397350993377483,0,0.025709219858156
2020-03-01,566,0.937086092715232,2.8046357615894,2.61092715231788,0.937086092715232,0.40424944812362,0.020070838252657
2020-03-02,342,0.566225165562914,3.37086092715232,3.03807947019868,0.566225165562914,0.427388836329234,0.025540275049116
2020-03-03,466,0.771523178807947,4.14238410596026,3.74668874172185,0.771523178807947,0.515610217596973,0.031574740207834
2020-03-04,587,0.971854304635762,5.11423841059603,4.48013245033113,0.971854304635762,0.635998107852412,0.034639041761088
2020-03-05,769,1.27317880794702,6.38741721854305,5.45695364238411,1.27317880794702,0.758751182592242,0.038361845515811
2020-03-06,778,1.28807947019868,7.67549668874172,6.48344370860927,1.28807947019868,0.886471144749291,0.042493528904228
2020-03-07,1247,2.06456953642384,9.74006622516556,8.37913907284768,2.06456953642384,1.12464522232734,0.039605643379228
2020-03-08,1492,2.47019867549669,12.2102649006623,10.5745033112583,2.47019867549669,1.34366130558184,0.049627118644068
2020-03-09,1797,2.97516556291391,15.1854304635762,13.2201986754967,2.97516556291391,1.68779564806055,0.050479720889664
2020-03-10,977,1.61754966887417,16.8029801324503,14.0960264900662,1.61754966887417,1.80865657521287,0.062173613163859
2020-03-11,2313,3.8294701986755,20.6324503311258,17.5331125827815,3.8294701986755,2.21688741721854,0.066361739688654
2020-03-12,2651,4.38907284768212,25.021523178808,21.2566225165563,4.38907284768212,2.6620151371807,0.067226890756303
2020-03-13,2547,4.21688741721854,29.2384105960265,24.7599337748344,4.21688741721854,3.08041627246925,0.071687429218573
2020-03-14,3497,5.78973509933775,35.0281456953642,29.387417218543,5.78973509933775,3.61258278145695,0.068109845441225
2020-03-15,3590,5.94370860927152,40.9718543046358,34.1109271523179,5.94370860927152,4.10879848628193,0.073099769669051
2020-03-16,3233,5.35264900662252,46.3245033112583,38.2003311258278,5.35264900662252,4.4484389782403,0.077126518942102
2020-03-17,3526,5.83774834437086,52.1622516556291,43.1490066225166,5.83774834437086,5.05132450331126,0.079445185044119
2020-03-18,4207,6.96523178807947,59.1274834437086,47.5331125827815,6.96523178807947,5.49929044465468,0.08338700193207
2020-03-19,5322,8.8112582781457,67.9387417218543,54.9503311258278,8.8112582781457,6.13103122043519,0.082977945656147
2020-03-20,5986,9.91059602649007,77.8493377483444,62.682119205298,9.91059602649007,6.94441816461684,0.085748920695009
2020-03-21,6557,10.8559602649007,88.705298013245,70.6639072847682,10.8559602649007,7.66816461684011,0.090055619843966
2020-03-22,5560,9.20529801324503,97.9105960264901,77.2152317880795,9.20529801324503,8.1341059602649,0.092596976563293
